id,location_name,province,description,seed_type,area_ha,total_campaigns,people_involved,trees_planted,carbon_absorbed,annual_survival_rate,mean_annual_temp,mean_annual_precip,soil_ph,review_rating,review_count,image,review_1,review_2,review_3,review_4
1,Pari Island,Jakarta,"A beautiful island featuring lush nature trails, white sandy beaches, and crystal-clear waters popular among divers.",Mangrove Rhizopora,4.2,66,1152,41755,33000,0.72,27,1783,6.04,4.7,1687,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziieEvKq5OHZArQFpTS2mn6B5VWMALkEsRqL9HnDA7FmJasSuegi1AaabtRk5Po5Mbr70mNXRkyev54Ckm0wnnnljTXqPMb1dG_z6tUTTu0r7NOzUZSuX4mqQBU8CEsB_2FDJYzw=w408-h293-k-no,Easy dock access and the planting site is relatively well-maintained.,"Local community regularly conducts maintenance, survival looks good.","Occasionally marine debris is found on the shore, periodic cleaning needed.",Location suitable for Rhizophora due to supportive tidal movements.
2,Mangrove Ecotourism Pantai Indah Kapuk,Jakarta,"A downtown recreation area featuring mangrove boardwalks, fishing ponds, and resident monkeys.",Mangrove Rhizopora,0.25,88,1111,40433,69400,0.92,27.3,2118,5.35,4.3,4681,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxLYccK3XRmOD7qht4VFXiUfKOYXyiplomMkyrM531uV8FEkFr4H4WkrNOiQ5ViRp9C9mV4Tq8FujN95LLwm7nQ9qAsM7UiSfjxssVrYp_0RUony8BdjWm739XmaF47hxbSDbrz8A=w408-h572-k-no,Mangrove education area frequently visited by schools and community.,"Heavy access on weekends, limited parking.",Planting program organized by community & private sector.,Several spots need additional care to prevent erosion.
3,Mangrove Ecotourism Wonorejo,JawaTimur,"Ecotourism offering boat rides through a mangrove forest, plus a mosque & vendors selling batiks.",Mangrove Rhizopora,0.19,33,758,30699,9700,0.92,,,5.95,4.3,7965,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxS3daF4C-xU3qTru26SqVvBtsbjVhvfgSKiBUKTN77BSPJzGuJzO1BUVSBhjYX_RkqnOWJFS5VLoyvzWdT1PUEhqjy-WZtTz6yOUYxGzT6x34woKvt6FkYbRwKnuWC3DjM3ZmZ=w408-h306-k-no,Well-maintained location with boardwalks for monitoring and education.,"Volunteers often present, ensuring consistent maintenance.",Large area suitable for Rhizophora planting campaigns.,Easy vehicle access and adequate visitor facilities.
4,Sukawali Village,Banten,"A coastal village at the mouth of the Cisadane River in Pakuhaji, Tangerang, featuring mangrove forests, small delta islands, and fishing areas. It offers boat rides through mangrove waterways, scenic coastal views, and community-based eco-tourism promoting mangrove conservation and sustainable land use.",Mangrove Rhizopora,0.16,53,420,26097,10600,0.94,27.3,2038,5.62,4.3,729,https://storage.googleapis.com/restor2-prod-1-sites/e1948ec9-5508-4e6f-ba85-d8619f236877/c229e59c-e5b4-444e-9991-36618e7d5904/600,Local community actively supports planting program.,"Access somewhat remote, logistics require planning.",Mud substrate suitable for Rhizophora.,Need a care training program for residents to improve survival.
5,Benoa Bay,Bali,"A coastal area impacted by the 2019 Benoa Bay reclamation, where about 40 hectares of mangroves were lost. Restoration efforts focus on replanting mangroves to revive the ecosystem and support local fishermen’s livelihoods.",Mangrove Rhizopora,0.12,25,968,18673,17300,0.82,27.4,1947,5.74,4.5,3271,https://storage.googleapis.com/restor2-prod-1-sites/7db11958-d785-4a72-ac70-027681252ec1/482cc62e-6ca2-4c5d-a979-97b365a6969f/600,Coast with high restoration potential for mangroves.,Coordination with stakeholders important due to coastal activities.,Local fishers support restoration as shoreline protection.,"Relatively good access and close to tourism hub, so funding may be available."
6,Untia Coast,SulawesiSelatan,Vulnerable coastal area facing rising sea levels due to climate change and rapid development.Mangrove planting serves as a key mitigation effort to reduce disaster risks,Mangrove Rhizopora,1.48,22,472,14777,4200,0.94,27.2,3162,6.13,4.5,260,https://storage.googleapis.com/restor2-prod-1-sites/0d769ea4-13be-4470-9931-d80fc1f05661/b739f807-d229-4809-bd88-9f7ad6dcf517/600,"Flat beach with mud substrate, suitable for planting.","Several points require boat access, so logistics need to be arranged.",Local volunteers easy to engage and plant survival generally satisfactory.,Need marine waste control to improve growing conditions.
7,Mempawah Mangrove Forest,KalimantanBarat,"Serves as a vital habitat for marine life and a breeding ground for fish, shrimp, and crabs that support local fishermen. Deforestation has led to land erosion and river siltation, threatening livelihoods.",Mangrove Avicennia (white api-api),0.06,36,1024,9552,2100,0.89,26.8,2891,5.7,4.3,1254,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznklYiHSOTocfrhTrTrjSQBVaV3Gpk06tWofbeL5a2jspaxttadrGpZWFGE2cSiKf1Kt7p87a9hSX0-8mUI-ZPzqLeUaAeCRz_x5voZBdsl8cw2H6AJ3gSOCb_0-w8mJQEIN08=w408-h544-k-no,Extensive mangrove ecosystem with part of the area dominated by Avicennia.,Field access challenging; logistical coordination from the district needed.,Local community actively involved in conservation.,High carbon sequestration potential due to large area.
8,Laut Village,JawaTengah,"A cluster of small islands in Segara Anakan, home to the Mangrove Arboretum “Kolak Sekancil,” which showcases diverse mangrove species. Recently, mangrove degradation, coastal erosion, and declining marine life have threatened local livelihoods.",Mangrove Rhizopora,2.16,74,2634,21592,19100,0.85,27,2824,5.19,4.2,826,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSznklYiHSOTocfrhTrTrjSQBVaV3Gpk06tWofbeL5a2jspaxttadrGpZWFGE2cSiKf1Kt7p87a9hSX0-8mUI-ZPzqLeUaAeCRz_x5voZBdsl8cw2H6AJ3gSOCb_0-w8mJQEIN08=w408-h544-k-no,Active fishing community leading to high implementation participation.,Sea access allows large-scale planting.,Need proper planting technique training to improve survival.,"Several areas experience erosion, need early seedling stabilization."
9,Trimulyo Coast,JawaTengah,"A coastal green area that serves as a natural barrier protecting the northern coast and the city from flooding. However, severe abrasion, tidal flooding, and waste pollution have increasingly threatened the area.",Mangrove Rhizopora,0.74,158,5265,118583,47800,0.95,27.42,2383,5.85,0,0,https://storage.googleapis.com/restor2-prod-1-sites/84a10553-69b7-4189-b424-cde450ac7ef7/b06cac74-eccf-435b-8ae8-55f99dfc4596/600,Supported by village residents for small restoration activities.,"Land access fairly good, facilitating logistics.",Survival rates vary among plots; monitoring needed.,Suitable for community planting campaigns with assistance.
10,Bedono Village,JawaTengah,"A coastal area highly vulnerable to rising sea levels and land subsidence, making mangrove restoration vital to protect the shoreline and local communities.",Mangrove Rhizopora,11.56,214,8216,115588,77300,0.78,27.44,2429,5.93,4.4,32,https://storage.googleapis.com/restor2-prod-1-sites/fa58735c-b79b-4e1c-9695-420e6236f53f/fe0d5f7e-eb3f-4145-b72e-8ff3fe55cb13/600,Coastal land vulnerable to erosion—urgent planting for protection.,Community cares but resources limited.,Need support of quality seedlings and logistics.,Good potential for Rhizophora if maintenance support is provided.
11,Sintuk River,KalimantanTengah,"Sungai Sintuk, located near Tanjung Puting National Park, is a community-managed conservation area focused on forest restoration after a major 2019 fire, with tree-planting efforts including Nyatoh to restore biodiversity and ecosystem balance.",Nyatoh Tree (Nagasari),15.98,30,499,1973,806,1,27.10,2879,4.86,0,0,https://storage.googleapis.com/restor2-prod-1-sites/b951b73f-877d-4d38-8aa2-92911d5c5465/1562e97a-97f8-4e50-89ae-99b5ef46e687/600,Plateau area suitable for Nyatoh tree planting; fertile soil.,Vehicle access facilitates seedling mobilization.,Local community supports reforestation program.,Need protection against land fires during dry season.
12,West Bandung Regency,JawaBarat,"The site offers adequate facilities—rest areas, bathrooms, photo spots, a waterfall, villas, and plantations—and is supported by a 10-member local disaster awareness group.",Trembesi,0.53,10,15,5283,708,0.96,22.83,2796,5.47,0,0,https://storage.googleapis.com/restor2-prod-1-sites/10f3da79-c827-4240-a997-5f6c88932bcb/f1895081-3b10-4057-9650-2011e7f066a3/600,Many open areas suitable for Trembesi planting program.,Easy access and community greening program already underway.,Fertile soil in several locations so survival is expected to be good.,Need spacing arrangement to avoid interfering with infrastructure.
13,Ambulu Mangrove Forest Area,JawaBarat,"Rich in diverse mangrove species such as Rhizophora mucronata, Avicennia marina, and Bruguiera sp., the village serves as a vital conservation and eco-tourism site. Supported by a local mangrove monitoring group (Pokwasma), Ambulu’s community actively protects and restores its mangrove forests",Mangrove Rhizopora,0.03,7,133,9943,1900,0.84,27.22,2674,5.99,0,0,https://storage.googleapis.com/restor2-prod-1-sites/4aec4c43-dae2-4328-bcbe-bdef9f338815/1c38220a-bd73-4a87-8066-4c4cbd60770e/600,Extensive mangrove forest with ongoing restoration efforts.,Some parts only reachable by boat; logistics essential.,NGOs & local residents collaborate in maintenance.,"Certain areas well-maintained, suitable for medium-scale projects."
14,Caplok Barong Mangrove Forest Area,JawaBarat,An ecotourism area featuring a 300-meter stretch of mangroves with bamboo walkways and boat tours operated by local fishermen.,Mangrove Rhizopora,0.04,22,328,13684,13900,0.63,27.22,2674,5.99,4.5,87,https://storage.googleapis.com/restor2-prod-1-sites/126e78a3-3d6e-46b7-b54a-b5db3c039909/f7e6c49e-b347-4f01-9679-8fcc4f61bf4f/600,Conservation area with high restoration potential.,Access challenging but habitat relatively natural and protected.,Good survival in places sheltered from large waves.,Need monitoring and protection support for open areas.
15,Cemara Island,JawaTengah,"A coastal settlement of farmers and fishermen facing frequent tidal flooding. Since 2022, local mangrove planting efforts to prevent seawater intrusion and develop a unique mangrove tourism area inspired by local folklore.",Mangrove Rhizopora,0.16,3,31,1632,827,0.74,,,,4.6,145,https://blog-backup.lindungihutan.com//wp-content/uploads/2023/06/Kondisi-Pulau-Cemara-Sawojajar.jpg,Small island with natural mangrove habitat suitable for restoration.,Access by boat; suitable for small community projects.,Local volunteers often plant and conduct periodic monitoring.,Need tourism management so visitor pressure does not damage seedlings.
