id,nama_lokasi,jenis_bibit,luas_ha,total_kampanye,orang_terlibat,pohon_tertanam,karbon_terserap,annual_survival_rate,mean_annual_temp,mean_annual_precip,soil_ph,rating_ulasan,jumlah_ulasan,ulasan_1,ulasan_2,ulasan_3,ulasan_4
1,Pulau Pari,Mangrove Rhizopora,4.2,66,1152,41755,33000,0.72,27,1783,6.04,4.7,1687,Akses dermaga mudah dan lokasi tanam relatif terjaga.,"Komunitas lokal rutin melakukan perawatan, survival terlihat baik.","Terkadang ditemukan sampah laut di pinggir, perlu pembersihan berkala.",Lokasi cocok untuk Rhizophora karena pasang surut yang mendukung.
2,Ekowisata Mangrove Pantai Indah Kapuk,Mangrove Rhizopora,0.25,88,1111,40433,69400,0.92,27.3,2118,5.35,4.3,4681,Area edukasi mangrove sering dikunjungi sekolah dan komunitas.,"Akses padat pada akhir pekan, parkir terbatas.",Program penanaman terorganisir oleh komunitas & swasta.,Beberapa titik perlu perawatan lebih untuk mencegah abrasi.
3,Ekowisata Mangrove Wonorejo,Mangrove Rhizopora,0.19,33,758,30699,9700,0.92,,,5.95,4.3,7965,Lokasi terawat dengan jalur papan untuk monitoring dan edukasi.,Volunteer sering hadir sehingga pemeliharaan konsisten.,Area luas cocok untuk kampanye penanaman Rhizophora.,Akses kendaraan mudah dan fasilitas untuk pengunjung memadai.
4,Desa Sukawali,Mangrove Rhizopora,0.16,53,420,26097,10600,0.94,27.3,2038,5.62,4.3,729,Komunitas lokal aktif mendukung program penanaman.,"Akses sedikit terpencil, logistik perlu perencanaan.",Substrat berlumpur cocok untuk Rhizophora.,Perlu program pelatihan perawatan bagi warga agar survival meningkat.
5,Teluk Benoa,Mangrove Rhizopora,0.12,25,968,18673,17300,0.82,27.4,1947,5.74,4.5,3271,Pesisir dengan potensi restorasi tinggi untuk mangrove.,Koordinasi dengan pemangku kepentingan penting karena aktivitas pesisir.,Nelayan lokal mendukung restorasi sebagai perlindungan garis pantai.,Akses relatif baik dan dekat pusat pariwisata sehingga pendanaan mungkin tersedia.
6,Pesisir Untia,Mangrove Rhizopora,1.48,22,472,14777,4200,0.94,27.2,3162,6.13,4.5,260,"Pantai datar dengan substrat berlumpur, cocok untuk penanaman.",Beberapa titik memerlukan perahu untuk akses sehingga logistik perlu diatur.,Volunteer lokal mudah diajak dan survival tanaman umumnya memuaskan.,Perlu pengendalian sampah laut untuk memperbaiki kondisi tumbuh.
7,Hutan Mangrove Mempawah,Mangrove Avicennia (api-api putih),0.06,36,1024,9552,2100,0.89,26.8,2891,5.7,4.3,1254,Ekosistem mangrove luas dengan sebagian area didominasi Avicennia.,Akses lapangan menantang; perlu koordinasi logistik dari kabupaten.,Komunitas lokal terlibat aktif dalam konservasi.,Potensi serapan karbon tinggi karena area yang besar.
8,Kampung Laut,Mangrove Rhizopora,2.16,74,2634,21592,19100,0.85,27,2824,5.19,4.2,826,Komunitas nelayan aktif sehingga partisipasi pelaksanaan tinggi.,Akses lewat laut memungkinkan penanaman skala besar.,Perlu pelatihan teknik tanam yang tepat untuk meningkatkan survival.,"Beberapa area mengalami abrasi, butuh stabilisasi bibit awal."
9,Pesisir Trimulyo,Mangrove Rhizopora,0.74,158,5265,118583,47800,0.95,27.42,2383,5.85,0,0,Didukung warga desa untuk kegiatan restorasi kecil.,"Akses darat cukup baik, memudahkan logistik.",Tingkat survival bervariasi antar plot; monitoring diperlukan.,Cocok untuk kampanye penanaman komunitas dengan pendampingan.
10,Desa Bedono,Mangrove Rhizopora,11.56,214,8216,115588,77300,0.78,27.44,2429,5.93,4.4,32,Lahan pesisir rentan abrasiâ€”penanaman mendesak untuk proteksi.,Komunitas peduli namun sumber daya terbatas.,Perlu dukungan bibit berkualitas dan logistik.,Potensi baik untuk Rhizophora jika ada dukungan pemeliharaan.
11,Sungai Sintuk,Pohon Nyatoh (Nagasari),15.98,30,499,1973,806,1,27.10,2879,4.86,0,0,Area dataran yang cocok untuk penanaman pohon Nyatoh; tanah subur.,Akses kendaraan memudahkan mobilisasi bibit.,Komunitas lokal mendukung program reboisasi.,Perlu proteksi terhadap kebakaran lahan pada musim kering.
12,Kabupaten Bandung Barat,Trembesi,0.53,10,15,5283,708,0.96,22.83,2796,5.47,0,0,Banyak area terbuka cocok untuk program penanaman Trembesi.,Akses mudah dan program penghijauan komunitas sudah berjalan.,Tanah subur di beberapa lokasi sehingga survival diharapkan baik.,Perlu pengaturan jarak tanam agar tidak mengganggu infrastruktur.
13,Kawasan Hutan Mangrove Ambulu,Mangrove Rhizopora,0.03,7,133,9943,1900,0.84,27.22,2674,5.99,0,0,Hutan mangrove luas dengan upaya restorasi berjalan.,Beberapa bagian hanya bisa dicapai dengan boat; logistik penting.,LSM & warga setempat berkolaborasi dalam perawatan.,"Area tertentu terjaga baik, cocok untuk proyek skala menengah."
14,Kawasan Hutan Mangrove Caplok Barong,Mangrove Rhizopora,0.04,22,328,13684,13900,0.63,27.22,2674,5.99,4.5,87,Area konservasi dengan potensi restorasi tinggi.,Akses menantang namun habitat relatif alami dan terlindung.,Survival baik di tempat terlindung dari gelombang besar.,Perlu dukungan monitoring dan perlindungan untuk area terbuka.
15,Pulau Cemara,Mangrove Rhizopora,0.16,3,31,1632,827,0.74,,,,4.6,145,Pulau kecil dengan habitat mangrove alami yang cocok untuk restorasi.,Akses via kapal; cocok untuk proyek komunitas kecil.,Volunteer lokal sering melakukan penanaman dan monitoring berkala.,Perlu manajemen wisata agar tekanan pengunjung tidak merusak bibit.
